Año,Mes,Hora,Generacion_MW
5,4,7,0
5,5,7,0
5,6,7,0
5,7,7,0
5,8,7,0
5,9,7, 17 
5,10,7, 213 
5,11,7, 276 
5,12,7, 340 
6,1,7, 154 
6,2,7, 32 
6,3,7, 1 
6,4,7,0
6,5,7,0
6,6,7,0
6,7,7,0
6,8,7,0
6,9,7, 17 
6,10,7, 213 
6,11,7, 276 
6,12,7, 340 
7,1,7, 154 
7,2,7, 32 
7,3,7, 1 
7,4,7,0
7,5,7,0
7,6,7,0
7,7,7,0
7,8,7,0
7,9,7, 17 
7,10,7, 213 
7,11,7, 276 
7,12,7, 340 
8,1,7, 154 
8,2,7, 32 
8,3,7, 1 
8,4,7,0
8,5,7,0
8,6,7,0
8,7,7,0
8,8,7,0
8,9,7, 17 
8,10,7, 213 
8,11,7, 276 
8,12,7, 340 
9,1,7, 154 
9,2,7, 32 
9,3,7, 1 
9,4,7,0
9,5,7,0
9,6,7,0
9,7,7,0
9,8,7,0
9,9,7, 17 
9,10,7, 213 
9,11,7, 276 
9,12,7, 340 
10,1,7, 154 
10,2,7, 32 
10,3,7, 1 
10,4,7,0
10,5,7,0
10,6,7,0
10,7,7,0
10,8,7,0
10,9,7, 17 
10,10,7, 213 
10,11,7, 276 
10,12,7, 340 
1,1,8, 820 
1,2,8, 519 
1,3,8, 460 
1,4,8, 256 
1,5,8, 116 
1,6,8, 28 
1,7,8, 34 
1,8,8, 169 
1,9,8, 537 
1,10,8," 1,027 "
1,11,8, 936 
1,12,8, 845 
2,1,8, 820 
2,2,8, 519 
2,3,8, 460 
2,4,8, 256 
2,5,8, 116 
2,6,8, 28 
2,7,8, 34 
2,8,8, 169 
2,9,8, 537 
2,10,8," 1,027 "
2,11,8, 936 
2,12,8, 845 
3,1,8, 820 
3,2,8, 519 
3,3,8, 460 
3,4,8, 256 
3,5,8, 116 
3,6,8, 28 
3,7,8, 34 
3,8,8, 169 
3,9,8, 537 
3,10,8," 1,027 "
3,11,8, 936 
3,12,8, 845 
4,1,8, 820 
4,2,8, 519 
4,3,8, 460 
4,4,8, 256 
4,5,8, 116 
4,6,8, 28 
4,7,8, 34 
4,8,8, 169 
4,9,8, 537 
4,10,8," 1,027 "
4,11,8, 936 
4,12,8, 845 
5,1,8, 820 
5,2,8, 519 
5,3,8, 460 
5,4,8, 256 
5,5,8, 116 
5,6,8, 28 
5,7,8, 34 
5,8,8, 169 
5,9,8, 537 
5,10,8," 1,027 "
5,11,8, 936 
5,12,8, 845 
6,1,8, 820 
6,2,8, 519 
6,3,8, 460 
6,4,8, 256 
6,5,8, 116 
6,6,8, 28 
6,7,8, 34 
6,8,8, 169 
6,9,8, 537 
6,10,8," 1,027 "
6,11,8, 936 
6,12,8, 845 
7,1,8, 820 
7,2,8, 519 
7,3,8, 460 
7,4,8, 256 
7,5,8, 116 
7,6,8, 28 
7,7,8, 34 
7,8,8, 169 
7,9,8, 537 
7,10,8," 1,027 "
7,11,8, 936 
7,12,8, 845 
8,1,8, 820 
8,2,8, 519 
8,3,8, 460 
8,4,8, 256 
8,5,8, 116 
8,6,8, 28 
8,7,8, 34 
8,8,8, 169 
8,9,8, 537 
8,10,8," 1,027 "
8,11,8, 936 
8,12,8, 845 
9,1,8, 820 
9,2,8, 519 
9,3,8, 460 
9,4,8, 256 
9,5,8, 116 
9,6,8, 28 
9,7,8, 34 
9,8,8, 169 
9,9,8, 537 
9,10,8," 1,027 "
9,11,8, 936 
9,12,8, 845 
10,1,8, 820 
10,2,8, 519 
10,3,8, 460 
10,4,8, 256 
10,5,8, 116 
10,6,8, 28 
10,7,8, 34 
10,8,8, 169 
10,9,8, 537 
10,10,8," 1,027 "
10,11,8, 936 
10,12,8, 845 
1,1,9," 1,224 "
1,2,9, 931 
1,3,9," 1,132 "
1,4,9, 960 
1,5,9, 761 
1,6,9, 575 
1,7,9, 649 
1,8,9, 924 
1,9,9," 1,055 "
1,10,9," 1,333 "
1,11,9," 1,256 "
1,12,9," 1,178 "
2,1,9," 1,224 "
2,2,9, 931 
2,3,9," 1,132 "
2,4,9, 960 
2,5,9, 761 
2,6,9, 575 
2,7,9, 649 
2,8,9, 924 
2,9,9," 1,055 "
2,10,9," 1,333 "
2,11,9," 1,256 "
2,12,9," 1,178 "
3,1,9," 1,224 "
3,2,9, 931 
3,3,9," 1,132 "
3,4,9, 960 
3,5,9, 761 
3,6,9, 575 
3,7,9, 649 
3,8,9, 924 
3,9,9," 1,055 "
3,10,9," 1,333 "
3,11,9," 1,256 "
3,12,9," 1,178 "
4,1,9," 1,224 "
4,2,9, 931 
4,3,9," 1,132 "
4,4,9, 960 
4,5,9, 761 
4,6,9, 575 
4,7,9, 649 
4,8,9, 924 
4,9,9," 1,055 "
4,10,9," 1,333 "
4,11,9," 1,256 "
4,12,9," 1,178 "
5,1,9," 1,224 "
5,2,9, 931 
5,3,9," 1,132 "
5,4,9, 960 
5,5,9, 761 
5,6,9, 575 
5,7,9, 649 
5,8,9, 924 
5,9,9," 1,055 "
5,10,9," 1,333 "
5,11,9," 1,256 "
5,12,9," 1,178 "
6,1,9," 1,224 "
6,2,9, 931 
6,3,9," 1,132 "
6,4,9, 960 
6,5,9, 761 
6,6,9, 575 
6,7,9, 649 
6,8,9, 924 
6,9,9," 1,055 "
6,10,9," 1,333 "
6,11,9," 1,256 "
6,12,9," 1,178 "
7,1,9," 1,224 "
7,2,9, 931 
7,3,9," 1,132 "
7,4,9, 960 
7,5,9, 761 
7,6,9, 575 
7,7,9, 649 
7,8,9, 924 
7,9,9," 1,055 "
7,10,9," 1,333 "
7,11,9," 1,256 "
7,12,9," 1,178 "
8,1,9," 1,224 "
8,2,9, 931 
8,3,9," 1,132 "
8,4,9, 960 
8,5,9, 761 
8,6,9, 575 
8,7,9, 649 
8,8,9, 924 
8,9,9," 1,055 "
8,10,9," 1,333 "
8,11,9," 1,256 "
8,12,9," 1,178 "
9,1,9," 1,224 "
9,2,9, 931 
9,3,9," 1,132 "
9,4,9, 960 
9,5,9, 761 
9,6,9, 575 
9,7,9, 649 
9,8,9, 924 
9,9,9," 1,055 "
9,10,9," 1,333 "
9,11,9," 1,256 "
9,12,9," 1,178 "
10,1,9," 1,224 "
10,2,9, 931 
10,3,9," 1,132 "
10,4,9, 960 
10,5,9, 761 
10,6,9, 575 
10,7,9, 649 
10,8,9, 924 
10,9,9," 1,055 "
10,10,9," 1,333 "
10,11,9," 1,256 "
10,12,9," 1,178 "
1,1,10," 1,348 "
1,2,10," 1,200 "
1,3,10," 1,328 "
1,4,10," 1,149 "
1,5,10, 997 
1,6,10, 924 
1,7,10," 1,035 "
1,8,10," 1,154 "
1,9,10," 1,318 "
1,10,10," 1,467 "
1,11,10," 1,439 "
1,12,10," 1,410 "
2,1,10," 1,348 "
2,2,10," 1,200 "
2,3,10," 1,328 "
2,4,10," 1,149 "
2,5,10, 997 
2,6,10, 924 
2,7,10," 1,035 "
2,8,10," 1,154 "
2,9,10," 1,318 "
2,10,10," 1,467 "
2,11,10," 1,439 "
2,12,10," 1,410 "
3,1,10," 1,348 "
3,2,10," 1,200 "
3,3,10," 1,328 "
3,4,10," 1,149 "
3,5,10, 997 
3,6,10, 924 
3,7,10," 1,035 "
3,8,10," 1,154 "
3,9,10," 1,318 "
3,10,10," 1,467 "
3,11,10," 1,439 "
3,12,10," 1,410 "
4,1,10," 1,348 "
4,2,10," 1,200 "
4,3,10," 1,328 "
4,4,10," 1,149 "
4,5,10, 997 
4,6,10, 924 
4,7,10," 1,035 "
4,8,10," 1,154 "
4,9,10," 1,318 "
4,10,10," 1,467 "
4,11,10," 1,439 "
4,12,10," 1,410 "
5,1,10," 1,348 "
5,2,10," 1,200 "
5,3,10," 1,328 "
5,4,10," 1,149 "
5,5,10, 997 
5,6,10, 924 
5,7,10," 1,035 "
5,8,10," 1,154 "
5,9,10," 1,318 "
5,10,10," 1,467 "
5,11,10," 1,439 "
5,12,10," 1,410 "
6,1,10," 1,348 "
6,2,10," 1,200 "
6,3,10," 1,328 "
6,4,10," 1,149 "
6,5,10, 997 
6,6,10, 924 
6,7,10," 1,035 "
6,8,10," 1,154 "
6,9,10," 1,318 "
6,10,10," 1,467 "
6,11,10," 1,439 "
6,12,10," 1,410 "
7,1,10," 1,348 "
7,2,10," 1,200 "
7,3,10," 1,328 "
7,4,10," 1,149 "
7,5,10, 997 
7,6,10, 924 
7,7,10," 1,035 "
7,8,10," 1,154 "
7,9,10," 1,318 "
7,10,10," 1,467 "
7,11,10," 1,439 "
7,12,10," 1,410 "
8,1,10," 1,348 "
8,2,10," 1,200 "
8,3,10," 1,328 "
8,4,10," 1,149 "
8,5,10, 997 
8,6,10, 924 
8,7,10," 1,035 "
8,8,10," 1,154 "
8,9,10," 1,318 "
8,10,10," 1,467 "
8,11,10," 1,439 "
8,12,10," 1,410 "
9,1,10," 1,348 "
9,2,10," 1,200 "
9,3,10," 1,328 "
9,4,10," 1,149 "
9,5,10, 997 
9,6,10, 924 
9,7,10," 1,035 "
9,8,10," 1,154 "
9,9,10," 1,318 "
9,10,10," 1,467 "
9,11,10," 1,439 "
9,12,10," 1,410 "
10,1,10," 1,348 "
10,2,10," 1,200 "
10,3,10," 1,328 "
10,4,10," 1,149 "
10,5,10, 997 
10,6,10, 924 
10,7,10," 1,035 "
10,8,10," 1,154 "
10,9,10," 1,318 "
10,10,10," 1,467 "
10,11,10," 1,439 "
10,12,10," 1,410 "
1,1,11," 1,436 "
1,2,11," 1,312 "
1,3,11," 1,432 "
1,4,11," 1,242 "
1,5,11," 1,082 "
1,6,11, 975 
1,7,11," 1,072 "
1,8,11," 1,227 "
1,9,11," 1,379 "
1,10,11," 1,487 "
1,11,11," 1,479 "
1,12,11," 1,472 "
2,1,11," 1,436 "
2,2,11," 1,312 "
2,3,11," 1,432 "
2,4,11," 1,242 "
2,5,11," 1,082 "
2,6,11, 975 
2,7,11," 1,072 "
2,8,11," 1,227 "
2,9,11," 1,379 "
2,10,11," 1,487 "
2,11,11," 1,479 "
2,12,11," 1,472 "
3,1,11," 1,436 "
3,2,11," 1,312 "
3,3,11," 1,432 "
3,4,11," 1,242 "
3,5,11," 1,082 "
3,6,11, 975 
3,7,11," 1,072 "
3,8,11," 1,227 "
3,9,11," 1,379 "
3,10,11," 1,487 "
3,11,11," 1,479 "
3,12,11," 1,472 "
4,1,11," 1,436 "
4,2,11," 1,312 "
4,3,11," 1,432 "
4,4,11," 1,242 "
4,5,11," 1,082 "
4,6,11, 975 
4,7,11," 1,072 "
4,8,11," 1,227 "
4,9,11," 1,379 "
4,10,11," 1,487 "
4,11,11," 1,479 "
4,12,11," 1,472 "
5,1,11," 1,436 "
5,2,11," 1,312 "
5,3,11," 1,432 "
5,4,11," 1,242 "
5,5,11," 1,082 "
5,6,11, 975 
5,7,11," 1,072 "
5,8,11," 1,227 "
5,9,11," 1,379 "
5,10,11," 1,487 "
5,11,11," 1,479 "
5,12,11," 1,472 "
6,1,11," 1,436 "
6,2,11," 1,312 "
6,3,11," 1,432 "
6,4,11," 1,242 "
6,5,11," 1,082 "
6,6,11, 975 
6,7,11," 1,072 "
6,8,11," 1,227 "
6,9,11," 1,379 "
6,10,11," 1,487 "
6,11,11," 1,479 "
6,12,11," 1,472 "
7,1,11," 1,436 "
7,2,11," 1,312 "
7,3,11," 1,432 "
7,4,11," 1,242 "
7,5,11," 1,082 "
7,6,11, 975 
7,7,11," 1,072 "
7,8,11," 1,227 "
7,9,11," 1,379 "
7,10,11," 1,487 "
7,11,11," 1,479 "
7,12,11," 1,472 "
8,1,11," 1,436 "
8,2,11," 1,312 "
8,3,11," 1,432 "
8,4,11," 1,242 "
8,5,11," 1,082 "
8,6,11, 975 
8,7,11," 1,072 "
8,8,11," 1,227 "
8,9,11," 1,379 "
8,10,11," 1,487 "
8,11,11," 1,479 "
8,12,11," 1,472 "
9,1,11," 1,436 "
9,2,11," 1,312 "
9,3,11," 1,432 "
9,4,11," 1,242 "
9,5,11," 1,082 "
9,6,11, 975 
9,7,11," 1,072 "
9,8,11," 1,227 "
9,9,11," 1,379 "
9,10,11," 1,487 "
9,11,11," 1,479 "
9,12,11," 1,472 "
10,1,11," 1,436 "
10,2,11," 1,312 "
10,3,11," 1,432 "
10,4,11," 1,242 "
10,5,11," 1,082 "
10,6,11, 975 
10,7,11," 1,072 "
10,8,11," 1,227 "
10,9,11," 1,379 "
10,10,11," 1,487 "
10,11,11," 1,479 "
10,12,11," 1,472 "
1,1,12," 1,491 "
1,2,12," 1,342 "
1,3,12," 1,445 "
1,4,12," 1,258 "
1,5,12," 1,124 "
1,6,12," 1,001 "
1,7,12," 1,072 "
1,8,12," 1,241 "
1,9,12," 1,382 "
1,10,12," 1,493 "
1,11,12," 1,451 "
1,12,12," 1,500 "
2,1,12," 1,491 "
2,2,12," 1,342 "
2,3,12," 1,445 "
2,4,12," 1,258 "
2,5,12," 1,124 "
2,6,12," 1,001 "
2,7,12," 1,072 "
2,8,12," 1,241 "
2,9,12," 1,382 "
2,10,12," 1,493 "
2,11,12," 1,451 "
2,12,12," 1,500 "
3,1,12," 1,491 "
3,2,12," 1,342 "
3,3,12," 1,445 "
3,4,12," 1,258 "
3,5,12," 1,124 "
3,6,12," 1,001 "
3,7,12," 1,072 "
3,8,12," 1,241 "
3,9,12," 1,382 "
3,10,12," 1,493 "
3,11,12," 1,451 "
3,12,12," 1,500 "
4,1,12," 1,491 "
4,2,12," 1,342 "
