Año,Mes,Hora,Demanda_MW
1,10,3, 185 
1,11,3, 180 
1,12,3, 197 
2,1,3, 204 
2,2,3, 189 
2,3,3, 197 
2,4,3, 179 
2,5,3, 192 
2,6,3, 190 
2,7,3, 201 
2,8,3, 195 
2,9,3, 189 
2,10,3, 185 
2,11,3, 180 
2,12,3, 197 
3,1,3, 204 
3,2,3, 189 
3,3,3, 197 
3,4,3, 179 
3,5,3, 192 
3,6,3, 190 
3,7,3, 201 
3,8,3, 195 
3,9,3, 189 
3,10,3, 185 
3,11,3, 180 
3,12,3, 197 
4,1,3, 204 
4,2,3, 189 
4,3,3, 197 
4,4,3, 179 
4,5,3, 192 
4,6,3, 190 
4,7,3, 201 
4,8,3, 195 
4,9,3, 189 
4,10,3, 185 
4,11,3, 180 
4,12,3, 197 
5,1,3, 204 
5,2,3, 189 
5,3,3, 197 
5,4,3, 179 
5,5,3, 192 
5,6,3, 190 
5,7,3, 201 
5,8,3, 195 
5,9,3, 189 
5,10,3, 185 
5,11,3, 180 
5,12,3, 197 
6,1,3, 204 
6,2,3, 189 
6,3,3, 197 
6,4,3, 179 
6,5,3, 192 
6,6,3, 190 
6,7,3, 201 
6,8,3, 195 
6,9,3, 189 
6,10,3, 185 
6,11,3, 180 
6,12,3, 197 
7,1,3, 204 
7,2,3, 189 
7,3,3, 197 
7,4,3, 179 
7,5,3, 192 
7,6,3, 190 
7,7,3, 201 
7,8,3, 195 
7,9,3, 189 
7,10,3, 185 
7,11,3, 180 
7,12,3, 197 
8,1,3, 204 
8,2,3, 189 
8,3,3, 197 
8,4,3, 179 
8,5,3, 192 
8,6,3, 190 
8,7,3, 201 
8,8,3, 195 
8,9,3, 189 
8,10,3, 185 
8,11,3, 180 
8,12,3, 197 
9,1,3, 204 
9,2,3, 189 
9,3,3, 197 
9,4,3, 179 
9,5,3, 192 
9,6,3, 190 
9,7,3, 201 
9,8,3, 195 
9,9,3, 189 
9,10,3, 185 
9,11,3, 180 
9,12,3, 197 
10,1,3, 204 
10,2,3, 189 
10,3,3, 197 
10,4,3, 179 
10,5,3, 192 
10,6,3, 190 
10,7,3, 201 
10,8,3, 195 
10,9,3, 189 
10,10,3, 185 
10,11,3, 180 
10,12,3, 197 
1,1,4, 198 
1,2,4, 183 
1,3,4, 193 
1,4,4, 176 
1,5,4, 188 
1,6,4, 185 
1,7,4, 195 
1,8,4, 191 
1,9,4, 184 
1,10,4, 181 
1,11,4, 176 
1,12,4, 192 
2,1,4, 198 
2,2,4, 183 
2,3,4, 193 
2,4,4, 176 
2,5,4, 188 
2,6,4, 185 
2,7,4, 195 
2,8,4, 191 
2,9,4, 184 
2,10,4, 181 
2,11,4, 176 
2,12,4, 192 
3,1,4, 198 
3,2,4, 183 
3,3,4, 193 
3,4,4, 176 
3,5,4, 188 
3,6,4, 185 
3,7,4, 195 
3,8,4, 191 
3,9,4, 184 
3,10,4, 181 
3,11,4, 176 
3,12,4, 192 
4,1,4, 198 
4,2,4, 183 
4,3,4, 193 
4,4,4, 176 
4,5,4, 188 
4,6,4, 185 
4,7,4, 195 
4,8,4, 191 
4,9,4, 184 
4,10,4, 181 
4,11,4, 176 
4,12,4, 192 
5,1,4, 198 
5,2,4, 183 
5,3,4, 193 
5,4,4, 176 
5,5,4, 188 
5,6,4, 185 
5,7,4, 195 
5,8,4, 191 
5,9,4, 184 
5,10,4, 181 
5,11,4, 176 
5,12,4, 192 
6,1,4, 198 
6,2,4, 183 
6,3,4, 193 
6,4,4, 176 
6,5,4, 188 
6,6,4, 185 
6,7,4, 195 
6,8,4, 191 
6,9,4, 184 
6,10,4, 181 
6,11,4, 176 
6,12,4, 192 
7,1,4, 198 
7,2,4, 183 
7,3,4, 193 
7,4,4, 176 
7,5,4, 188 
7,6,4, 185 
7,7,4, 195 
7,8,4, 191 
7,9,4, 184 
7,10,4, 181 
7,11,4, 176 
7,12,4, 192 
8,1,4, 198 
8,2,4, 183 
8,3,4, 193 
8,4,4, 176 
8,5,4, 188 
8,6,4, 185 
8,7,4, 195 
8,8,4, 191 
8,9,4, 184 
8,10,4, 181 
8,11,4, 176 
8,12,4, 192 
9,1,4, 198 
9,2,4, 183 
9,3,4, 193 
9,4,4, 176 
9,5,4, 188 
9,6,4, 185 
9,7,4, 195 
9,8,4, 191 
9,9,4, 184 
9,10,4, 181 
9,11,4, 176 
9,12,4, 192 
10,1,4, 198 
10,2,4, 183 
10,3,4, 193 
10,4,4, 176 
10,5,4, 188 
10,6,4, 185 
10,7,4, 195 
10,8,4, 191 
10,9,4, 184 
10,10,4, 181 
10,11,4, 176 
10,12,4, 192 
1,1,5, 199 
1,2,5, 185 
1,3,5, 197 
1,4,5, 180 
1,5,5, 193 
1,6,5, 189 
1,7,5, 198 
1,8,5, 196 
1,9,5, 187 
1,10,5, 185 
1,11,5, 179 
1,12,5, 193 
2,1,5, 199 
2,2,5, 185 
2,3,5, 197 
2,4,5, 180 
2,5,5, 193 
2,6,5, 189 
2,7,5, 198 
2,8,5, 196 
2,9,5, 187 
2,10,5, 185 
2,11,5, 179 
2,12,5, 193 
3,1,5, 199 
3,2,5, 185 
3,3,5, 197 
3,4,5, 180 
3,5,5, 193 
3,6,5, 189 
3,7,5, 198 
3,8,5, 196 
3,9,5, 187 
3,10,5, 185 
3,11,5, 179 
3,12,5, 193 
4,1,5, 199 
4,2,5, 185 
4,3,5, 197 
4,4,5, 180 
4,5,5, 193 
4,6,5, 189 
4,7,5, 198 
4,8,5, 196 
4,9,5, 187 
4,10,5, 185 
4,11,5, 179 
4,12,5, 193 
5,1,5, 199 
5,2,5, 185 
5,3,5, 197 
5,4,5, 180 
5,5,5, 193 
5,6,5, 189 
5,7,5, 198 
5,8,5, 196 
5,9,5, 187 
5,10,5, 185 
5,11,5, 179 
5,12,5, 193 
6,1,5, 199 
6,2,5, 185 
6,3,5, 197 
6,4,5, 180 
6,5,5, 193 
6,6,5, 189 
6,7,5, 198 
6,8,5, 196 
6,9,5, 187 
6,10,5, 185 
6,11,5, 179 
6,12,5, 193 
7,1,5, 199 
7,2,5, 185 
7,3,5, 197 
7,4,5, 180 
7,5,5, 193 
7,6,5, 189 
7,7,5, 198 
7,8,5, 196 
7,9,5, 187 
7,10,5, 185 
7,11,5, 179 
7,12,5, 193 
8,1,5, 199 
8,2,5, 185 
8,3,5, 197 
8,4,5, 180 
8,5,5, 193 
8,6,5, 189 
8,7,5, 198 
8,8,5, 196 
8,9,5, 187 
8,10,5, 185 
8,11,5, 179 
8,12,5, 193 
9,1,5, 199 
9,2,5, 185 
9,3,5, 197 
9,4,5, 180 
9,5,5, 193 
9,6,5, 189 
9,7,5, 198 
9,8,5, 196 
9,9,5, 187 
9,10,5, 185 
9,11,5, 179 
9,12,5, 193 
10,1,5, 199 
10,2,5, 185 
10,3,5, 197 
10,4,5, 180 
10,5,5, 193 
10,6,5, 189 
10,7,5, 198 
10,8,5, 196 
10,9,5, 187 
10,10,5, 185 
10,11,5, 179 
10,12,5, 193 
1,1,6, 205 
1,2,6, 194 
1,3,6, 216 
1,4,6, 195 
1,5,6, 214 
1,6,6, 210 
1,7,6, 218 
1,8,6, 220 
1,9,6, 206 
1,10,6, 203 
1,11,6, 191 
1,12,6, 197 
2,1,6, 205 
2,2,6, 194 
2,3,6, 216 
2,4,6, 195 
2,5,6, 214 
2,6,6, 210 
2,7,6, 218 
2,8,6, 220 
2,9,6, 206 
2,10,6, 203 
2,11,6, 191 
2,12,6, 197 
3,1,6, 205 
3,2,6, 194 
3,3,6, 216 
3,4,6, 195 
3,5,6, 214 
3,6,6, 210 
3,7,6, 218 
3,8,6, 220 
3,9,6, 206 
3,10,6, 203 
3,11,6, 191 
3,12,6, 197 
4,1,6, 205 
4,2,6, 194 
4,3,6, 216 
4,4,6, 195 
4,5,6, 214 
4,6,6, 210 
4,7,6, 218 
4,8,6, 220 
4,9,6, 206 
4,10,6, 203 
4,11,6, 191 
4,12,6, 197 
5,1,6, 205 
5,2,6, 194 
5,3,6, 216 
5,4,6, 195 
5,5,6, 214 
5,6,6, 210 
5,7,6, 218 
5,8,6, 220 
5,9,6, 206 
5,10,6, 203 
5,11,6, 191 
5,12,6, 197 
6,1,6, 205 
6,2,6, 194 
6,3,6, 216 
6,4,6, 195 
6,5,6, 214 
6,6,6, 210 
6,7,6, 218 
6,8,6, 220 
6,9,6, 206 
6,10,6, 203 
6,11,6, 191 
6,12,6, 197 
7,1,6, 205 
7,2,6, 194 
7,3,6, 216 
7,4,6, 195 
7,5,6, 214 
7,6,6, 210 
7,7,6, 218 
7,8,6, 220 
7,9,6, 206 
7,10,6, 203 
7,11,6, 191 
7,12,6, 197 
8,1,6, 205 
8,2,6, 194 
8,3,6, 216 
8,4,6, 195 
8,5,6, 214 
8,6,6, 210 
8,7,6, 218 
8,8,6, 220 
8,9,6, 206 
8,10,6, 203 
8,11,6, 191 
8,12,6, 197 
9,1,6, 205 
9,2,6, 194 
9,3,6, 216 
9,4,6, 195 
9,5,6, 214 
9,6,6, 210 
9,7,6, 218 
9,8,6, 220 
9,9,6, 206 
9,10,6, 203 
9,11,6, 191 
9,12,6, 197 
10,1,6, 205 
10,2,6, 194 
10,3,6, 216 
10,4,6, 195 
10,5,6, 214 
10,6,6, 210 
10,7,6, 218 
10,8,6, 220 
10,9,6, 206 
10,10,6, 203 
10,11,6, 191 
10,12,6, 197 
1,1,7, 217 
1,2,7, 204 
1,3,7, 239 
1,4,7, 210 
1,5,7, 237 
1,6,7, 237 
1,7,7, 244 
1,8,7, 245 
1,9,7, 231 
1,10,7, 220 
1,11,7, 210 
1,12,7, 214 
2,1,7, 217 
2,2,7, 204 
2,3,7, 239 
2,4,7, 210 
2,5,7, 237 
2,6,7, 237 
2,7,7, 244 
2,8,7, 245 
2,9,7, 231 
2,10,7, 220 
2,11,7, 210 
2,12,7, 214 
3,1,7, 217 
3,2,7, 204 
3,3,7, 239 
3,4,7, 210 
3,5,7, 237 
3,6,7, 237 
3,7,7, 244 
3,8,7, 245 
3,9,7, 231 
3,10,7, 220 
3,11,7, 210 
3,12,7, 214 
4,1,7, 217 
4,2,7, 204 
4,3,7, 239 
4,4,7, 210 
4,5,7, 237 
4,6,7, 237 
4,7,7, 244 
4,8,7, 245 
4,9,7, 231 
4,10,7, 220 
4,11,7, 210 
4,12,7, 214 
5,1,7, 217 
5,2,7, 204 
5,3,7, 239 
5,4,7, 210 
5,5,7, 237 
5,6,7, 237 
5,7,7, 244 
5,8,7, 245 
5,9,7, 231 
5,10,7, 220 
5,11,7, 210 
5,12,7, 214 
6,1,7, 217 
6,2,7, 204 
6,3,7, 239 
6,4,7, 210 
6,5,7, 237 
6,6,7, 237 
6,7,7, 244 
6,8,7, 245 
6,9,7, 231 
6,10,7, 220 
6,11,7, 210 
6,12,7, 214 
7,1,7, 217 
7,2,7, 204 
7,3,7, 239 
7,4,7, 210 
7,5,7, 237 
7,6,7, 237 
7,7,7, 244 
7,8,7, 245 
7,9,7, 231 
7,10,7, 220 
7,11,7, 210 
7,12,7, 214 
8,1,7, 217 
8,2,7, 204 
8,3,7, 239 
8,4,7, 210 
8,5,7, 237 
8,6,7, 237 
8,7,7, 244 
8,8,7, 245 
8,9,7, 231 
8,10,7, 220 
8,11,7, 210 
8,12,7, 214 
9,1,7, 217 
9,2,7, 204 
9,3,7, 239 
9,4,7, 210 
9,5,7, 237 
9,6,7, 237 
9,7,7, 244 
9,8,7, 245 
9,9,7, 231 
9,10,7, 220 
9,11,7, 210 
9,12,7, 214 
10,1,7, 217 
10,2,7, 204 
10,3,7, 239 
10,4,7, 210 
10,5,7, 237 
10,6,7, 237 
10,7,7, 244 
10,8,7, 245 
10,9,7, 231 
10,10,7, 220 
10,11,7, 210 
10,12,7, 214 
1,1,8, 249 
1,2,8, 229 
1,3,8, 258 
1,4,8, 235 
1,5,8, 261 
1,6,8, 263 
1,7,8, 273 
1,8,8, 273 
1,9,8, 256 
1,10,8, 248 
1,11,8, 239 
1,12,8, 246 
2,1,8, 249 
2,2,8, 229 
2,3,8, 258 
2,4,8, 235 
2,5,8, 261 
2,6,8, 263 
2,7,8, 273 
2,8,8, 273 
2,9,8, 256 
2,10,8, 248 
2,11,8, 239 
2,12,8, 246 
3,1,8, 249 
3,2,8, 229 
3,3,8, 258 
3,4,8, 235 
3,5,8, 261 
3,6,8, 263 
3,7,8, 273 
3,8,8, 273 
3,9,8, 256 
3,10,8, 248 
3,11,8, 239 
3,12,8, 246 
4,1,8, 249 
4,2,8, 229 
4,3,8, 258 
4,4,8, 235 
4,5,8, 261 
4,6,8, 263 
4,7,8, 273 
4,8,8, 273 
4,9,8, 256 
4,10,8, 248 
4,11,8, 239 
4,12,8, 246 
5,1,8, 249 
5,2,8, 229 
5,3,8, 258 
5,4,8, 235 
5,5,8, 261 
5,6,8, 263 
5,7,8, 273 
5,8,8, 273 
5,9,8, 256 
5,10,8, 248 
5,11,8, 239 
5,12,8, 246 
6,1,8, 249 
6,2,8, 229 
6,3,8, 258 
6,4,8, 235 
6,5,8, 261 
6,6,8, 263 
6,7,8, 273 
6,8,8, 273 
6,9,8, 256 
6,10,8, 248 
6,11,8, 239 
6,12,8, 246 
7,1,8, 249 
7,2,8, 229 
7,3,8, 258 
7,4,8, 235 
7,5,8, 261 
7,6,8, 263 
7,7,8, 273 
7,8,8, 273 
7,9,8, 256 
7,10,8, 248 
7,11,8, 239 
7,12,8, 246 
8,1,8, 249 
8,2,8, 229 
8,3,8, 258 
8,4,8, 235 
8,5,8, 261 
8,6,8, 263 
8,7,8, 273 
8,8,8, 273 
8,9,8, 256 
8,10,8, 248 
8,11,8, 239 
8,12,8, 246 
9,1,8, 249 
9,2,8, 229 
9,3,8, 258 
9,4,8, 235 
9,5,8, 261 
9,6,8, 263 
9,7,8, 273 
9,8,8, 273 
9,9,8, 256 
9,10,8, 248 
9,11,8, 239 
9,12,8, 246 
10,1,8, 249 
10,2,8, 229 
10,3,8, 258 
10,4,8, 235 
10,5,8, 261 
10,6,8, 263 
10,7,8, 273 
10,8,8, 273 
10,9,8, 256 
10,10,8, 248 
10,11,8, 239 
10,12,8, 246 
1,1,9, 280 
1,2,9, 258 
1,3,9, 285 
1,4,9, 262 
1,5,9, 290 
1,6,9, 295 
1,7,9, 308 
1,8,9, 304 
1,9,9, 284 
1,10,9, 276 
1,11,9, 266 
1,12,9, 275 
2,1,9, 280 
2,2,9, 258 
2,3,9, 285 
2,4,9, 262 
2,5,9, 290 
2,6,9, 295 
2,7,9, 308 
2,8,9, 304 
2,9,9, 284 
2,10,9, 276 
2,11,9, 266 
2,12,9, 275 
3,1,9, 280 
3,2,9, 258 
3,3,9, 285 
3,4,9, 262 
3,5,9, 290 
3,6,9, 295 
3,7,9, 308 
3,8,9, 304 
3,9,9, 284 
3,10,9, 276 
3,11,9, 266 
3,12,9, 275 
4,1,9, 280 
4,2,9, 258 
4,3,9, 285 
4,4,9, 262 
4,5,9, 290 
4,6,9, 295 
4,7,9, 308 
4,8,9, 304 
4,9,9, 284 
4,10,9, 276 
4,11,9, 266 
4,12,9, 275 
5,1,9, 280 
5,2,9, 258 
5,3,9, 285 
5,4,9, 262 
5,5,9, 290 
5,6,9, 295 
5,7,9, 308 
5,8,9, 304 
5,9,9, 284 
5,10,9, 276 
5,11,9, 266 
5,12,9, 275 
6,1,9, 280 
6,2,9, 258 
6,3,9, 285 
6,4,9, 262 
6,5,9, 290 
6,6,9, 295 
6,7,9, 308 
6,8,9, 304 
6,9,9, 284 
6,10,9, 276 
6,11,9, 266 
6,12,9, 275 
7,1,9, 280 
7,2,9, 258 
7,3,9, 285 
7,4,9, 262 
7,5,9, 290 
7,6,9, 295 
7,7,9, 308 
7,8,9, 304 
7,9,9, 284 
7,10,9, 276 
7,11,9, 266 
7,12,9, 275 
8,1,9, 280 
8,2,9, 258 
8,3,9, 285 
8,4,9, 262 
8,5,9, 290 
8,6,9, 295 
8,7,9, 308 
8,8,9, 304 
8,9,9, 284 
8,10,9, 276 
8,11,9, 266 
8,12,9, 275 
9,1,9, 280 
9,2,9, 258 
9,3,9, 285 
9,4,9, 262 
9,5,9, 290 
9,6,9, 295 
9,7,9, 308 
9,8,9, 304 
9,9,9, 284 
9,10,9, 276 
9,11,9, 266 
9,12,9, 275 
10,1,9, 280 
10,2,9, 258 
10,3,9, 285 
10,4,9, 262 
10,5,9, 290 
10,6,9, 295 
10,7,9, 308 
10,8,9, 304 
10,9,9, 284 
10,10,9, 276 
10,11,9, 266 
10,12,9, 275 
1,1,10, 301 
1,2,10, 279 
1,3,10, 303 
1,4,10, 277 
1,5,10, 305 
1,6,10, 315 
1,7,10, 330 
1,8,10, 320 
1,9,10, 301 
1,10,10, 292 
1,11,10, 282 
1,12,10, 294 
2,1,10, 301 
2,2,10, 279 
2,3,10, 303 
2,4,10, 277 
2,5,10, 305 
2,6,10, 315 
2,7,10, 330 
2,8,10, 320 
2,9,10, 301 
2,10,10, 292 
2,11,10, 282 
2,12,10, 294 
3,1,10, 301 
3,2,10, 279 
3,3,10, 303 
3,4,10, 277 
3,5,10, 305 
3,6,10, 315 
3,7,10, 330 
3,8,10, 320 
3,9,10, 301 
3,10,10, 292 
3,11,10, 282 
3,12,10, 294 
4,1,10, 301 
4,2,10, 279 
4,3,10, 303 
4,4,10, 277 
4,5,10, 305 
4,6,10, 315 
4,7,10, 330 
4,8,10, 320 
4,9,10, 301 
4,10,10, 292 
4,11,10, 282 
4,12,10, 294 
5,1,10, 301 
5,2,10, 279 
5,3,10, 303 
5,4,10, 277 
5,5,10, 305 
5,6,10, 315 
5,7,10, 330 
5,8,10, 320 
5,9,10, 301 
5,10,10, 292 
5,11,10, 282 
5,12,10, 294 
6,1,10, 301 
6,2,10, 279 
6,3,10, 303 
6,4,10, 277 
6,5,10, 305 
6,6,10, 315 
6,7,10, 330 
6,8,10, 320 
6,9,10, 301 
6,10,10, 292 
6,11,10, 282 
6,12,10, 294 
7,1,10, 301 
7,2,10, 279 
7,3,10, 303 
7,4,10, 277 
7,5,10, 305 
7,6,10, 315 
7,7,10, 330 
7,8,10, 320 
7,9,10, 301 
7,10,10, 292 
7,11,10, 282 
7,12,10, 294 
8,1,10, 301 
8,2,10, 279 
8,3,10, 303 
8,4,10, 277 
8,5,10, 305 
8,6,10, 315 
8,7,10, 330 
8,8,10, 320 
8,9,10, 301 
8,10,10, 292 
8,11,10, 282 
8,12,10, 294 
9,1,10, 301 
9,2,10, 279 
9,3,10, 303 
9,4,10, 277 
9,5,10, 305 
9,6,10, 315 
9,7,10, 330 
9,8,10, 320 
9,9,10, 301 
9,10,10, 292 
9,11,10, 282 
9,12,10, 294 
10,1,10, 301 
10,2,10, 279 
10,3,10, 303 
10,4,10, 277 
10,5,10, 305 
10,6,10, 315 
10,7,10, 330 
10,8,10, 320 
10,9,10, 301 
10,10,10, 292 
10,11,10, 282 
10,12,10, 294 
1,1,11, 316 
1,2,11, 292 
1,3,11, 315 
1,4,11, 287 
1,5,11, 314 
1,6,11, 325 
1,7,11, 340 
1,8,11, 326 
1,9,11, 309 
1,10,11, 299 
1,11,11, 292 
1,12,11, 306 
2,1,11, 316 
2,2,11, 292 
2,3,11, 315 
2,4,11, 287 
2,5,11, 314 
2,6,11, 325 
2,7,11, 340 
2,8,11, 326 
2,9,11, 309 
2,10,11, 299 
2,11,11, 292 
2,12,11, 306 
3,1,11, 316 
3,2,11, 292 
3,3,11, 315 
3,4,11, 287 
3,5,11, 314 
3,6,11, 325 
3,7,11, 340 
3,8,11, 326 
3,9,11, 309 
3,10,11, 299 
3,11,11, 292 
3,12,11, 306 
4,1,11, 316 
4,2,11, 292 
4,3,11, 315 
4,4,11, 287 
4,5,11, 314 
4,6,11, 325 
4,7,11, 340 
4,8,11, 326 
4,9,11, 309 
4,10,11, 299 
4,11,11, 292 
4,12,11, 306 
5,1,11, 316 
5,2,11, 292 
5,3,11, 315 
5,4,11, 287 
5,5,11, 314 
5,6,11, 325 
5,7,11, 340 
5,8,11, 326 
5,9,11, 309 
5,10,11, 299 
5,11,11, 292 
5,12,11, 306 
6,1,11, 316 
6,2,11, 292 
6,3,11, 315 
6,4,11, 287 
6,5,11, 314 
6,6,11, 325 
6,7,11, 340 
6,8,11, 326 
6,9,11, 309 
6,10,11, 299 
6,11,11, 292 
6,12,11, 306 
7,1,11, 316 
7,2,11, 292 
7,3,11, 315 
7,4,11, 287 
